,nlayers,layers,activators,ini,reg,opt,batch_size
0,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),SGD(lr=0.01),32
1,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),SGD(lr=0.01),64
2,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),SGD(lr=0.01),256
3,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),SGD(lr=0.01),32
4,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),SGD(lr=0.01),64
5,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),SGD(lr=0.01),256
6,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),SGD(lr=0.01),32
7,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),SGD(lr=0.01),64
8,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),SGD(lr=0.01),256
9,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),SGD(lr=0.01),32
10,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),SGD(lr=0.01),64
11,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),SGD(lr=0.01),256
12,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),Adam(lr=0.01),32
13,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),Adam(lr=0.01),64
14,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),Adam(lr=0.01),256
15,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),Adam(lr=0.01),32
16,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),Adam(lr=0.01),64
17,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),Adam(lr=0.01),256
18,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),Adam(lr=0.01),32
19,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),Adam(lr=0.01),64
20,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),Adam(lr=0.01),256
21,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),Adam(lr=0.01),32
22,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),Adam(lr=0.01),64
23,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),Adam(lr=0.01),256
24,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),Adagrad(lr=0.01),32
25,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),Adagrad(lr=0.01),64
26,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),Adagrad(lr=0.01),256
27,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),Adagrad(lr=0.01),32
28,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),Adagrad(lr=0.01),64
29,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),Adagrad(lr=0.01),256
30,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),Adagrad(lr=0.01),32
31,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),Adagrad(lr=0.01),64
32,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),Adagrad(lr=0.01),256
33,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),Adagrad(lr=0.01),32
34,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),Adagrad(lr=0.01),64
35,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),Adagrad(lr=0.01),256
36,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),RMSprop(lr=0.01),32
37,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),RMSprop(lr=0.01),64
38,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.1),RMSprop(lr=0.01),256
39,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),RMSprop(lr=0.01),32
40,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),RMSprop(lr=0.01),64
41,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.1),RMSprop(lr=0.01),256
42,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),RMSprop(lr=0.01),32
43,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),RMSprop(lr=0.01),64
44,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.1),RMSprop(lr=0.01),256
45,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),RMSprop(lr=0.01),32
46,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),RMSprop(lr=0.01),64
47,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),RMSprop(lr=0.01),256
48,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),SGD(lr=0.01),32
49,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),SGD(lr=0.01),64
50,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),SGD(lr=0.01),256
51,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),SGD(lr=0.01),32
52,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),SGD(lr=0.01),64
53,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),SGD(lr=0.01),256
54,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),SGD(lr=0.01),32
55,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),SGD(lr=0.01),64
56,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),SGD(lr=0.01),256
57,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),SGD(lr=0.01),32
58,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),SGD(lr=0.01),64
59,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),SGD(lr=0.01),256
60,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),Adam(lr=0.01),32
61,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),Adam(lr=0.01),64
62,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),Adam(lr=0.01),256
63,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),Adam(lr=0.01),32
64,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),Adam(lr=0.01),64
65,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),Adam(lr=0.01),256
66,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),Adam(lr=0.01),32
67,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),Adam(lr=0.01),64
68,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),Adam(lr=0.01),256
69,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),Adam(lr=0.01),32
70,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),Adam(lr=0.01),64
71,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),Adam(lr=0.01),256
72,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),Adagrad(lr=0.01),32
73,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),Adagrad(lr=0.01),64
74,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),Adagrad(lr=0.01),256
75,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),Adagrad(lr=0.01),32
76,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),Adagrad(lr=0.01),64
77,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),Adagrad(lr=0.01),256
78,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),Adagrad(lr=0.01),32
79,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),Adagrad(lr=0.01),64
80,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),Adagrad(lr=0.01),256
81,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),Adagrad(lr=0.01),32
82,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),Adagrad(lr=0.01),64
83,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),Adagrad(lr=0.01),256
84,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),RMSprop(lr=0.01),32
85,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),RMSprop(lr=0.01),64
86,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.01),RMSprop(lr=0.01),256
87,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),RMSprop(lr=0.01),32
88,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),RMSprop(lr=0.01),64
89,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.01),RMSprop(lr=0.01),256
90,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),RMSprop(lr=0.01),32
91,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),RMSprop(lr=0.01),64
92,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.01),RMSprop(lr=0.01),256
93,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),RMSprop(lr=0.01),32
94,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),RMSprop(lr=0.01),64
95,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.01),RMSprop(lr=0.01),256
96,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),SGD(lr=0.01),32
97,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),SGD(lr=0.01),64
98,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),SGD(lr=0.01),256
99,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),SGD(lr=0.01),32
100,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),SGD(lr=0.01),64
101,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),SGD(lr=0.01),256
102,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),SGD(lr=0.01),32
103,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),SGD(lr=0.01),64
104,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),SGD(lr=0.01),256
105,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),SGD(lr=0.01),32
106,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),SGD(lr=0.01),64
107,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),SGD(lr=0.01),256
108,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),Adam(lr=0.01),32
109,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),Adam(lr=0.01),64
110,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),Adam(lr=0.01),256
111,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),Adam(lr=0.01),32
112,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),Adam(lr=0.01),64
113,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),Adam(lr=0.01),256
114,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),Adam(lr=0.01),32
115,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),Adam(lr=0.01),64
116,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),Adam(lr=0.01),256
117,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),Adam(lr=0.01),32
118,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),Adam(lr=0.01),64
119,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),Adam(lr=0.01),256
120,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),Adagrad(lr=0.01),32
121,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),Adagrad(lr=0.01),64
122,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),Adagrad(lr=0.01),256
123,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),Adagrad(lr=0.01),32
124,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),Adagrad(lr=0.01),64
125,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),Adagrad(lr=0.01),256
126,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),Adagrad(lr=0.01),32
127,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),Adagrad(lr=0.01),64
128,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),Adagrad(lr=0.01),256
129,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),Adagrad(lr=0.01),32
130,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),Adagrad(lr=0.01),64
131,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),Adagrad(lr=0.01),256
132,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),RMSprop(lr=0.01),32
133,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),RMSprop(lr=0.01),64
134,1,"[5, 13]","['relu', 'softmax']",uniform,l2(0.001),RMSprop(lr=0.01),256
135,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),RMSprop(lr=0.01),32
136,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),RMSprop(lr=0.01),64
137,1,"[5, 13]","['relu', 'softmax']",normal,l2(0.001),RMSprop(lr=0.01),256
138,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),RMSprop(lr=0.01),32
139,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),RMSprop(lr=0.01),64
140,1,"[5, 13]","['relu', 'softmax']",he_normal,l2(0.001),RMSprop(lr=0.01),256
141,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),RMSprop(lr=0.01),32
142,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),RMSprop(lr=0.01),64
143,1,"[5, 13]","['relu', 'softmax']",lecun_uniform,l2(0.001),RMSprop(lr=0.01),256
144,1,"[10, 13]","['relu', 'softmax']",uniform,l2(0.1),SGD(lr=0.01),32
145,1,"[10, 13]","['relu', 'softmax']",uniform,l2(0.1),SGD(lr=0.01),64
146,1,"[10, 13]","['relu', 'softmax']",uniform,l2(0.1),SGD(lr=0.01),256
147,1,"[10, 13]","['relu', 'softmax']",normal,l2(0.1),SGD(lr=0.01),32
148,1,"[10, 13]","['relu', 'softmax']",normal,l2(0.1),SGD(lr=0.01),64
149,1,"[10, 13]","['relu', 'softmax']",normal,l2(0.1),SGD(lr=0.01),256
150,1,"[10, 13]","['relu', 'softmax']",he_normal,l2(0.1),SGD(lr=0.01),32
151,1,"[10, 13]","['relu', 'softmax']",he_normal,l2(0.1),SGD(lr=0.01),64
152,1,"[10, 13]","['relu', 'softmax']",he_normal,l2(0.1),SGD(lr=0.01),256
153,1,"[10, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),SGD(lr=0.01),32
154,1,"[10, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),SGD(lr=0.01),64
155,1,"[10, 13]","['relu', 'softmax']",lecun_uniform,l2(0.1),SGD(lr=0.01),256
156,1,"[10, 13]","['relu', 'softmax']",uniform,l2(0.1),Adam(lr=0.01),32
